"Time","Staff Energy","Tasks Completed","Base Workload","Sleep"
"0","100","0","12","8"
"1","49.6","3","12","8"
"2","124.4","6","12","8"
"3","74","9","12","8"
"4","148.8","12","12","8"
"5","98.4","15","12","8"
"6","148","18","12","8"
"7","97.6","21","12","8"
"8","147.2","24","12","8"
"9","96.8","27","12","8"
"10","146.4","30","12","8"
"11","96","33","12","8"
"12","145.6","36","12","8"
"13","95.2","39","12","8"
"14","144.8","42","12","8"
"15","94.3999999999999","45","12","8"
"16","144","48","12","8"
"17","93.5999999999999","51","12","8"
"18","143.2","54","12","8"
"19","92.7999999999999","57","12","8"
"20","142.4","60","12","8"
"21","91.9999999999999","63","12","8"
"22","141.6","66","12","8"
"23","91.1999999999999","69","12","8"
"24","140.8","72","12","8"
"25","90.3999999999999","75","12","8"
"26","140","78","12","8"
"27","89.5999999999999","81","12","8"
"28","139.2","84","12","8"
"29","88.7999999999999","87","12","8"
"30","138.4","90","12","8"
